b'Data generated by the ASTRA High Altitude Balloon Flight Planner - University of Southampton',b'',b'',b'',b'',b''
b'Simulation #',b'Time from launch [s]',b'Latitude',b'Longitude',b'Altitude [m]',b'Remarks'
b'1.0',b'0.0',b'45.962139',b'-74.173139',b'300.0',b'Balloon Launch'
b'1.0',b'3.0',b'45.96225589453308',b'-74.17303763228686',b'323.1547591894853',b''
b'1.0',b'6.0',b'45.96238571135895',b'-74.17292275758204',b'349.1144807565117',b''
b'1.0',b'9.0',b'45.96252825614964',b'-74.17279406943506',b'375.0867562442596',b''
b'1.0',b'12.0',b'45.962683331359536',b'-74.17265126772983',b'401.06723311188216',b''
b'1.0',b'15.0',b'45.96285074231583',b'-74.17249405164733',b'427.06423788650744',b''
b'1.0',b'18.0',b'45.96303029015026',b'-74.17232212754931',b'453.07150385059913',b''
b'1.0',b'21.0',b'45.96322180254123',b'-74.17213517004726',b'479.14974101621794',b''
b'1.0',b'24.0',b'45.96342367389607',b'-74.17193372913864',b'505.22797818183676',b''
b'1.0',b'27.0',b'45.963632406525015',b'-74.17171948556398',b'531.3062153474556',b''
b'1.0',b'30.0',b'45.96384778006806',b'-74.17149217858714',b'557.3844525130744',b''
b'1.0',b'33.0',b'45.964069571521826',b'-74.17125155541997',b'583.4626896786933',b''
b'1.0',b'36.0',b'45.9642975553874',b'-74.17099737131252',b'609.5409268443121',b''
b'1.0',b'39.0',b'45.96453157083534',b'-74.17072923075621',b'635.9154376547363',b''
b'1.0',b'42.0',b'45.96477131985658',b'-74.17044705712729',b'662.0015205651215',b''
b'1.0',b'45.0',b'45.96501657270697',b'-74.17015062315363',b'688.0997576127969',b''
b'1.0',b'48.0',b'45.96526709739358',b'-74.16983970937355',b'714.2101487977625',b''
b'1.0',b'51.0',b'45.96552224281464',b'-74.16951138753433',b'740.3326941200183',b''
b'1.0',b'54.0',b'45.96578136446803',b'-74.16916377952683',b'766.4673935795644',b''
b'1.0',b'57.0',b'45.96604401031406',b'-74.16879653925417',b'792.6142471764007',b''
b'1.0',b'60.0',b'45.9663097217017',b'-74.16840933997896',b'818.7737491515159',b''
b'1.0',b'63.0',b'45.96657803388071',b'-74.16800187324131',b'844.9480761845441',b''
b'1.0',b'66.0',b'45.96684847590784',b'-74.16757385261425',b'871.1348401818775',b''
b'1.0',b'69.0',b'45.96712057135871',b'-74.16712501211062',b'897.3340411435158',b''
b'1.0',b'72.0',b'45.96739383874194',b'-74.16665510638965',b'923.5456790694591',b''
b'1.0',b'75.0',b'45.96766779192013',b'-74.16616391095006',b'949.7697539597073',b''
b'1.0',b'78.0',b'45.96793805400793',b'-74.16566429071999',b'976.0062658142604',b''
b'1.0',b'81.0',b'45.96820349417505',b'-74.16515986539821',b'1002.2552146331184',b''
b'1.0',b'84.0',b'45.96846408746425',b'-74.16465073900491',b'1028.5166004162816',b''
b'1.0',b'87.0',b'45.968719810075385',b'-74.16413701539466',b'1054.7904231637494',b''
b'1.0',b'90.0',b'45.9689706393587',b'-74.16361879836913',b'1081.0766828755222',b''
b'1.0',b'93.0',b'45.96921655380772',b'-74.16309619165145',b'1107.3753795516',b''
b'1.0',b'96.0',b'45.9694575330519',b'-74.1625692988611',b'1133.6865131919828',b''
b'1.0',b'99.0',b'45.96969355784905',b'-74.1620382234887',b'1160.0100837966704',b''
b'1.0',b'102.0',b'45.96992461007742',b'-74.1615030688715',b'1186.3460913656631',b''
b'1.0',b'105.0',b'45.97015147901186',b'-74.16096981872849',b'1212.6945358989608',b''
b'1.0',b'108.0',b'45.970374469519996',b'-74.16044052822424',b'1239.0554173965631',b''
b'1.0',b'111.0',b'45.97059361735273',b'-74.15991523190283',b'1265.4287358584706',b''
b'1.0',b'114.0',b'45.97080895826303',b'-74.15939396379896',b'1291.814491284683',b''
b'1.0',b'117.0',b'45.971020528001795',b'-74.15887675738395',b'1318.2126836752004',b''
b'1.0',b'120.0',b'45.971228362314086',b'-74.15836364556839',b'1344.6233130300227',b''
b'1.0',b'123.0',b'45.97143249695906',b'-74.15785466067732',b'1371.046206901657',b''
b'1.0',b'126.0',b'45.97163296785742',b'-74.15734983427782',b'1397.480087438748',b''
b'1.0',b'129.0',b'45.97182981072857',b'-74.15684919758687',b'1423.9262592493055',b''
b'1.0',b'132.0',b'45.97202390684521',b'-74.15635250914461',b'1450.3847223333298',b''
b'1.0',b'135.0',b'45.97221608837191',b'-74.15585951250823',b'1476.855476690821',b''
b'1.0',b'138.0',b'45.9724063621728',b'-74.1553702069378',b'1503.338522321779',b''
b'1.0',b'141.0',b'45.97259473515905',b'-74.15488459193357',b'1529.833859226204',b''
b'1.0',b'144.0',b'45.9727812142875',b'-74.15440266699284',b'1556.3414874040955',b''
b'1.0',b'147.0',b'45.97296580655939',b'-74.15392443160916',b'1582.8614068554537',b''
b'1.0',b'150.0',b'45.973148519019226',b'-74.15344988527157',b'1609.3936175802787',b''
b'1.0',b'153.0',b'45.97332935875347',b'-74.15297902746363',b'1635.9381195785706',b''
b'1.0',b'156.0',b'45.97350833288925',b'-74.1525118576625',b'1662.4949128503295',b''
b'1.0',b'159.0',b'45.9736855947057',b'-74.15204815781362',b'1689.063997395555',b''
b'1.0',b'162.0',b'45.97386295556208',b'-74.15158523554626',b'1715.6453732142472',b''
b'1.0',b'165.0',b'45.97404041546705',b'-74.15112308911604',b'1742.2390403064062',b''
b'1.0',b'168.0',b'45.97421797442892',b'-74.15066171744074',b'1768.844998672032',b''
b'1.0',b'171.0',b'45.97439563245572',b'-74.15020111942829',b'1795.4632483111245',b''
b'1.0',b'174.0',b'45.9745733895554',b'-74.14974129397707',b'1822.0937892236839',b''
b'1.0',b'177.0',b'45.974751245735725',b'-74.14928223997619',b'1848.73662140971',b''
b'1.0',b'180.0',b'45.974929201004265',b'-74.14882395630563',b'1875.3917448692032',b''
